timestamp,x_mm,y_mm,roll_deg,pitch_deg,heading_deg,velocity
1621693264.0155628,9521,-35074,3.92,-1.35,123.36888738013543,690.2957302952376
1621693264.197984,9450,-34970,3.93,-1.22,126.79015171131542,640.4461508473296
1621693264.4237902,9365,-34853,3.85,-1.24,127.29885089371741,557.2238892912417
1621693264.6384845,9291,-34759,3.85,-1.12,125.90413778746466,659.2443900628186
1621693264.8448036,9211,-34649,3.77,-0.99,124.91479498788506,643.9386886877577
1621693265.0378,9140,-34547,3.7,-0.9,122.51709793355693,564.8123285192444
1621693265.2572992,9071,-34444,3.7,-0.7,127.01314328353484,669.3691774829
1621693265.4631655,8988,-34334,3.59,-0.55,124.17513255509954,563.543889936927
1621693265.6851535,8917,-34231,3.59,-0.49,126.67855242914189,682.215606239461
1621693265.8768837,8839,-34126,3.56,-0.46,122.93356946668541,533.5883530844377
1621693266.1154845,8767,-34021,3.66,-0.38,125.37130054776087,731.9652470421065
1621693266.296384,8689,-33914,3.78,-0.44,126.27050989340502,633.2509482101934
1621693266.501437,8614,-33808,3.74,-0.53,127.08694657137741,538.1479923424994
1621693266.738621,8540,-33704,3.73,-0.75,129.2879769504609,709.3977866927765
1621693266.9416296,8452,-33590,3.66,-0.91,123.66431164320257,482.4245570776157
1621693267.1762938,8392,-33494,3.55,-0.97,124.14560983735726,555.8646444179628
1621693267.3843954,8326,-33399,3.63,-1.0,121.4941522505609,713.9124411983887
1621693267.564268,8255,-33292,3.77,-0.89,127.04957839925085,606.7828837665436
1621693267.7781956,8176,-33189,3.9,-1.0,127.62458786352603,488.1030852534264
1621693268.00445,8112,-33099,3.88,-1.24,123.7594829282275,615.1892323983083
1621693268.2188272,8044,-32986,3.82,-1.58,132.3481868860868,604.3905073072734
1621693268.4177945,7969,-32892,3.75,-1.95,126.1940104975265,516.7910676156941
1621693268.627215,7906,-32804,3.77,-2.05,124.64100946891473,534.2368700824425
1621693268.8552556,7835,-32705,3.8,-1.95,128.5548696522943,642.1594289814279
1621693269.0375066,7759,-32616,3.81,-1.72,123.14749439132837,633.1597008200602
1621693269.2567391,7677,-32504,3.88,-1.31,124.12456028575116,702.0436910959043
1621693269.4572983,7593,-32391,3.98,-1.04,125.27075961485383,598.9183199316307
1621693269.8621871,7453,-32193,4.07,-1.17,127.92257407980152,500.73620101379095
1621693270.0862586,7386,-32103,4.06,-1.31,130.23738426781185,723.2539583759592
